disease,symptom
Achilles tendinitis,Physical problems. A naturally flat arch in your foot can put more strain on the Achilles tendon. Obesity and tight calf muscles also can increase tendon strain.
Achilles tendinitis,"Training choices. Running in worn-out shoes can increase your risk of Achilles tendinitis. Tendon pain occurs more frequently in cold weather than in warm weather, and running on hilly terrain also can predispose you to Achilles injury."
Achilles tendinitis,Medical conditions. People who have psoriasis or high blood pressure are at higher risk of developing Achilles tendinitis.
Achilles tendinitis,"Medications. Certain types of antibiotics, called fluoroquinolones, have been associated with higher rates of Achilles tendinitis."
Gastroesophageal reflux disease (GERD),"A burning sensation in your chest (heartburn), usually after eating, which might be worse at night"
Gastroesophageal reflux disease (GERD),Chest pain
Gastroesophageal reflux disease (GERD),Difficulty swallowing
Gastroesophageal reflux disease (GERD),Regurgitation of food or sour liquid
Gastroesophageal reflux disease (GERD),Sensation of a lump in your throat
Gastroesophageal reflux disease (GERD),Chronic cough
Gastroesophageal reflux disease (GERD),Laryngitis
Gastroesophageal reflux disease (GERD),New or worsening asthma
Gastroesophageal reflux disease (GERD),Disrupted sleep
ACL injury,"A loud pop or a ""popping"" sensation in the knee"
ACL injury,Severe pain and inability to continue activity
ACL injury,Rapid swelling
ACL injury,Loss of range of motion
ACL injury,"A feeling of instability or ""giving way"" with weight bearing"
HIV/AIDS,Fever
HIV/AIDS,Headache
HIV/AIDS,Muscle aches and joint pain
HIV/AIDS,Rash
HIV/AIDS,Sore throat and painful mouth sores
HIV/AIDS,"Swollen lymph glands, mainly on the neck"
HIV/AIDS,Diarrhea
HIV/AIDS,Weight loss
HIV/AIDS,Cough
HIV/AIDS,Night sweats
Actinic keratosis,"Rough, dry or scaly patch of skin, usually less than 1 inch (2.5 centimeters) in diameter"
Actinic keratosis,Flat to slightly raised patch or bump on the top layer of skin
Actinic keratosis,"In some cases, a hard, wartlike surface"
Actinic keratosis,"Color variations, including pink, red or brown"
Actinic keratosis,"Itching, burning, bleeding or crusting"
Actinic keratosis,"New patches or bumps on sun-exposed areas of the head, neck, hands and forearms"
Acute coronary syndrome,"Chest pain (angina) or discomfort, often described as aching, pressure, tightness or burning"
Acute coronary syndrome,"Pain spreading from the chest to the shoulders, arms, upper abdomen, back, neck or jaw"
Acute coronary syndrome,Nausea or vomiting
Acute coronary syndrome,Indigestion
Acute coronary syndrome,Shortness of breath (dyspnea)
Acute coronary syndrome,"Sudden, heavy sweating (diaphoresis)"
Acute coronary syndrome,"Lightheadedness, dizziness or fainting"
Acute coronary syndrome,Unusual or unexplained fatigue
Acute coronary syndrome,Feeling restless or apprehensive
Sweet's syndrome,Fever
Sweet's syndrome,"Painful small red bumps on your arms, face, neck or back"
Sweet's syndrome,"Bumps that grow quickly in size, spreading into painful clusters up to an inch (2.5 centimeters) in diameter"
Acute flaccid myelitis (AFM),Sudden arm or leg weakness
Acute flaccid myelitis (AFM),Sudden loss of muscle tone
Acute flaccid myelitis (AFM),Sudden loss of reflexes
Acute flaccid myelitis (AFM),Difficulty moving the eyes or drooping eyelids
Acute flaccid myelitis (AFM),Facial droop or weakness
Acute flaccid myelitis (AFM),Difficulty with swallowing or slurred speech
Acute flaccid myelitis (AFM),"Pain in the arms, legs, neck or back"
Acute flaccid myelitis (AFM),Numbness or tingling
Acute flaccid myelitis (AFM),Inability to pass urine
Acute myelogenous leukemia,Fever
Acute myelogenous leukemia,Bone pain
Acute myelogenous leukemia,Lethargy and fatigue
Acute myelogenous leukemia,Shortness of breath
Acute myelogenous leukemia,Pale skin
Acute myelogenous leukemia,Frequent infections
Acute myelogenous leukemia,Easy bruising
Acute myelogenous leukemia,"Unusual bleeding, such as frequent nosebleeds and bleeding from the gums"
Guillain-Barre syndrome,"Prickling, pins and needles sensations in your fingers, toes, ankles or wrists"
Guillain-Barre syndrome,Weakness in your legs that spreads to your upper body
Guillain-Barre syndrome,Unsteady walking or inability to walk or climb stairs
Guillain-Barre syndrome,"Difficulty with facial movements, including speaking, chewing or swallowing"
Guillain-Barre syndrome,Double vision or inability to move eyes
Guillain-Barre syndrome,"Severe pain that may feel achy, shooting or cramplike and may be worse at night"
Guillain-Barre syndrome,Difficulty with bladder control or bowel function
Guillain-Barre syndrome,Rapid heart rate
Guillain-Barre syndrome,Low or high blood pressure
Guillain-Barre syndrome,Difficulty breathing
Acute kidney failure,"Decreased urine output, although occasionally urine output remains normal"
Acute kidney failure,"Fluid retention, causing swelling in your legs, ankles or feet"
Acute kidney failure,Shortness of breath
Acute kidney failure,Fatigue
Acute kidney failure,Confusion
Acute kidney failure,Nausea
Acute kidney failure,Weakness
Acute kidney failure,Irregular heartbeat
Acute kidney failure,Chest pain or pressure
Acute kidney failure,Seizures or coma in severe cases
Acute lymphocytic leukemia,Bleeding from the gums
Acute lymphocytic leukemia,Bone pain
Acute lymphocytic leukemia,Fever
Acute lymphocytic leukemia,Frequent infections
Acute lymphocytic leukemia,Frequent or severe nosebleeds
Acute lymphocytic leukemia,"Lumps caused by swollen lymph nodes in and around the neck, armpits, abdomen or groin"
Acute lymphocytic leukemia,Pale skin
Acute lymphocytic leukemia,Shortness of breath
Acute lymphocytic leukemia,"Weakness, fatigue or a general decrease in energy"
Acute sinusitis,"Thick, yellow or greenish mucus from the nose (runny nose) or down the back of the throat (postnasal drainage)"
Acute sinusitis,Blocked or stuffy nose (congestion) causing difficulty breathing through your nose
Acute sinusitis,"Pain, tenderness, swelling and pressure around your eyes, cheeks, nose or forehead that worsens when bending over"
Acute sinusitis,Ear pressure
Acute sinusitis,Headache
Acute sinusitis,Aching in your teeth
Acute sinusitis,Altered sense of smell
Acute sinusitis,Cough
Acute sinusitis,Bad breath
Acute sinusitis,Fatigue
Acute sinusitis,Fever
Alcohol use disorder,Being unable to limit the amount of alcohol you drink
Alcohol use disorder,Wanting to cut down on how much you drink or making unsuccessful attempts to do so
Alcohol use disorder,"Spending a lot of time drinking, getting alcohol or recovering from alcohol use"
Alcohol use disorder,Feeling a strong craving or urge to drink alcohol
Alcohol use disorder,"Failing to fulfill major obligations at work, school or home due to repeated alcohol use"
Alcohol use disorder,"Continuing to drink alcohol even though you know it's causing physical, social or interpersonal problems"
Alcohol use disorder,Giving up or reducing social and work activities and hobbies
Alcohol use disorder,"Using alcohol in situations where it's not safe, such as when driving or swimming"
Alcohol use disorder,Developing a tolerance to alcohol so you need more to feel its effect or you have a reduced effect from the same amount
Alcohol use disorder,"Experiencing withdrawal symptoms — such as nausea, sweating and shaking — when you don't drink, or drinking to avoid these symptoms"
Alcohol use disorder,"Alcohol intoxication results as the amount of alcohol in your bloodstream increases. The higher the blood alcohol concentration is, the more impaired you become. Alcohol intoxication causes behavior problems and mental changes. These may include inappropriate behavior, unstable moods, impaired judgment, slurred speech, impaired attention or memory, and poor coordination. You can also have periods called ""blackouts,"" where you don't remember events. Very high blood alcohol levels can lead to coma or even death."
Alcohol use disorder,"Alcohol withdrawal can occur when alcohol use has been heavy and prolonged and is then stopped or greatly reduced. It can occur within several hours to four or five days later. Signs and symptoms include sweating, rapid heartbeat, hand tremors, problems sleeping, nausea and vomiting, hallucinations, restlessness and agitation, anxiety, and occasionally seizures. Symptoms can be severe enough to impair your ability to function at work or in social situations."
Drug addiction (substance use disorder),Feeling that you have to use the drug regularly — daily or even several times a day
Drug addiction (substance use disorder),Having intense urges for the drug that block out any other thoughts
Drug addiction (substance use disorder),"Over time, needing more of the drug to get the same effect"
Drug addiction (substance use disorder),Taking larger amounts of the drug over a longer period of time than you intended
Drug addiction (substance use disorder),Making certain that you maintain a supply of the drug
Drug addiction (substance use disorder),"Spending money on the drug, even though you can't afford it"
Drug addiction (substance use disorder),"Not meeting obligations and work responsibilities, or cutting back on social or recreational activities because of drug use"
Drug addiction (substance use disorder),"Continuing to use the drug, even though you know it's causing problems in your life or causing you physical or psychological harm"
Drug addiction (substance use disorder),"Doing things to get the drug that you normally wouldn't do, such as stealing"
Drug addiction (substance use disorder),Driving or doing other risky activities when you're under the influence of the drug
Drug addiction (substance use disorder),"Spending a good deal of time getting the drug, using the drug or recovering from the effects of the drug"
Drug addiction (substance use disorder),Failing in your attempts to stop using the drug
Drug addiction (substance use disorder),Experiencing withdrawal symptoms when you attempt to stop taking the drug
Nicotine dependence,"You can't stop smoking. You've made one or more serious, but unsuccessful, attempts to stop."
Nicotine dependence,"You have withdrawal symptoms when you try to stop. Your attempts at stopping have caused physical and mood-related symptoms, such as strong cravings, anxiety, irritability, restlessness, difficulty concentrating, depressed mood, frustration, anger, increased hunger, insomnia, constipation or diarrhea."
Nicotine dependence,"You keep smoking despite health problems. Even though you've developed health problems with your lungs or your heart, you haven't been able to stop."
Nicotine dependence,You give up social activities. You may stop going to smoke-free restaurants or stop socializing with family or friends because you can't smoke in these situations.
Adenomyosis,Heavy or prolonged menstrual bleeding
Adenomyosis,"Severe cramping or sharp, knifelike pelvic pain during menstruation (dysmenorrhea)"
Adenomyosis,Chronic pelvic pain
Adenomyosis,Painful intercourse (dyspareunia)
Attention-deficit/hyperactivity disorder (ADHD) in children,Predominantly inattentive. The majority of symptoms fall under inattention.
Attention-deficit/hyperactivity disorder (ADHD) in children,Predominantly hyperactive/impulsive. The majority of symptoms are hyperactive and impulsive.
Attention-deficit/hyperactivity disorder (ADHD) in children,Combined. This is a mix of inattentive symptoms and hyperactive/impulsive symptoms.
Adult attention-deficit/hyperactivity disorder (ADHD),Impulsiveness
Adult attention-deficit/hyperactivity disorder (ADHD),Disorganization and problems prioritizing
Adult attention-deficit/hyperactivity disorder (ADHD),Poor time management skills
Adult attention-deficit/hyperactivity disorder (ADHD),Problems focusing on a task
Adult attention-deficit/hyperactivity disorder (ADHD),Trouble multitasking
Adult attention-deficit/hyperactivity disorder (ADHD),Excessive activity or restlessness
Adult attention-deficit/hyperactivity disorder (ADHD),Poor planning
Adult attention-deficit/hyperactivity disorder (ADHD),Low frustration tolerance
Adult attention-deficit/hyperactivity disorder (ADHD),Frequent mood swings
Adult attention-deficit/hyperactivity disorder (ADHD),Problems following through and completing tasks
Adult attention-deficit/hyperactivity disorder (ADHD),Hot temper
Adult attention-deficit/hyperactivity disorder (ADHD),Trouble coping with stress
Childhood schizophrenia,Problems with thinking and reasoning
Childhood schizophrenia,Bizarre ideas or speech
Childhood schizophrenia,Confusing dreams or television for reality
Childhood schizophrenia,Withdrawal from friends and family
Childhood schizophrenia,Trouble sleeping
Childhood schizophrenia,"Lack of motivation — for example, showing up as a drop in performance at school"
Childhood schizophrenia,"Not meeting daily expectations, such as bathing or dressing"
Childhood schizophrenia,Bizarre behavior
Childhood schizophrenia,Violent or aggressive behavior or agitation
Childhood schizophrenia,Recreational drug or nicotine use
Childhood schizophrenia,Irritability or depressed mood
Childhood schizophrenia,"Lack of emotion, or emotions inappropriate for the situation"
Childhood schizophrenia,Strange anxieties and fears
Childhood schizophrenia,Excessive suspicion of others
Adult Still's disease,"Fever. You might have a daily fever of at least 102 F (38.9 C) for a week or longer. The fever usually peaks in the late afternoon or early evening. You might have two fever spikes daily, with your temperature returning to normal in between."
Adult Still's disease,"Rash. A salmon-pink rash might come and go with the fever. The rash usually appears on your trunk, arms or legs."
Adult Still's disease,Sore throat. This is one of the first symptoms of adult Still's disease. The lymph nodes in your neck might be swollen and tender.
Adult Still's disease,"Achy and swollen joints. Your joints — especially your knees and wrists — might be stiff, painful and inflamed. Ankles, elbows, hands and shoulders might also ache. The joint discomfort usually lasts at least two weeks."
Adult Still's disease,"Muscle pain. Muscular pain usually ebbs and flows with the fever, but the pain can be severe enough to disrupt your daily activities."
Age spots (liver spots),"Are flat, oval areas of increased pigmentation"
Age spots (liver spots),Are usually tan to dark brown
Age spots (liver spots),"Occur on skin that has had the most sun exposure over the years, such as the backs of hands, tops of feet, face, shoulders and upper back"
Age spots (liver spots),Range from freckle size to about 1/2 inch (13 millimeters) across
Age spots (liver spots),"Can group together, making them more noticeable"
Dry macular degeneration,"Visual distortions, such as straight lines seeming bent"
Dry macular degeneration,Reduced central vision in one or both eyes
Dry macular degeneration,The need for brighter light when reading or doing close-up work
Dry macular degeneration,"Increased difficulty adapting to low light levels, such as when entering a dimly lit restaurant"
Dry macular degeneration,Increased blurriness of printed words
Dry macular degeneration,Decreased intensity or brightness of colors
Dry macular degeneration,Difficulty recognizing faces
Dry macular degeneration,A well-defined blurry spot or blind spot in your field of vision
Wet macular degeneration,"Visual distortions, such as straight lines seeming bent"
Wet macular degeneration,Reduced central vision in one or both eyes
Wet macular degeneration,The need for brighter light when reading or doing close-up work
Wet macular degeneration,"Increased difficulty adapting to low light levels, such as when entering a dimly lit restaurant"
Wet macular degeneration,Increased blurriness of printed words
Wet macular degeneration,Decreased intensity or brightness of colors
Wet macular degeneration,Difficulty recognizing faces
Wet macular degeneration,A well-defined blurry spot or blind spot in your field of vision
Myelofibrosis,"Feeling tired, weak or short of breath, usually because of anemia"
Myelofibrosis,"Pain or fullness below your ribs on the left side, due to an enlarged spleen"
Myelofibrosis,Easy bruising
Myelofibrosis,Easy bleeding
Myelofibrosis,Excessive sweating during sleep (night sweats)
Myelofibrosis,Fever
Myelofibrosis,Bone pain
Airplane ear,Moderate discomfort or pain in your ear
Airplane ear,Feeling of fullness or stuffiness in your ear
Airplane ear,Muffled hearing or slight to moderate hearing loss
Airplane ear,Severe pain
Airplane ear,Increased ear pressure
Airplane ear,Moderate to severe hearing loss
Airplane ear,Ringing in your ear (tinnitus)
Airplane ear,Spinning sensation (vertigo)
Airplane ear,Bleeding from your ear
Alcohol intolerance,Facial redness (flushing)
Alcohol intolerance,"Red, itchy skin bumps (hives)"
Alcohol intolerance,Worsening of pre-existing asthma
Alcohol intolerance,Runny or stuffy nose
Alcohol intolerance,Low blood pressure
Alcohol intolerance,Nausea and vomiting
Alcohol intolerance,Diarrhea
Alcoholic hepatitis,Loss of appetite
Alcoholic hepatitis,Nausea and vomiting
Alcoholic hepatitis,Abdominal tenderness
Alcoholic hepatitis,"Fever, often low grade"
Alcoholic hepatitis,Fatigue and weakness
Alcoholic hepatitis,Fluid accumulation in your abdomen (ascites)
Alcoholic hepatitis,Confusion and behavior changes due to a buildup of toxins normally broken down and eliminated by the liver
Alcoholic hepatitis,Kidney and liver failure
Hay fever,Runny nose and nasal congestion
Hay fever,"Watery, itchy, red eyes (allergic conjunctivitis)"
Hay fever,Sneezing
Hay fever,Cough
Hay fever,"Itchy nose, roof of mouth or throat"
Hay fever,"Swollen, blue-colored skin under the eyes (allergic shiners)"
Hay fever,Postnasal drip
Hay fever,Fatigue
Allergies,Sneezing
Allergies,"Itching of the nose, eyes or roof of the mouth"
Allergies,"Runny, stuffy nose"
Allergies,"Watery, red or swollen eyes (conjunctivitis)"
Allergies,Tingling in the mouth
Allergies,"Swelling of the lips, tongue, face or throat"
Allergies,Hives
Allergies,Anaphylaxis
Allergies,A large area of swelling (edema) at the sting site
Allergies,Itching or hives all over the body
Allergies,"Cough, chest tightness, wheezing or shortness of breath"
Allergies,Anaphylaxis
Allergies,Hives
Allergies,Itchy skin
Allergies,Rash
Allergies,Facial swelling
Allergies,Wheezing
Allergies,Anaphylaxis
Allergies,Itch
Allergies,Redden
Allergies,Flake or peel
Dust mite allergy,Sneezing
Dust mite allergy,Runny nose
Dust mite allergy,"Itchy, red or watery eyes"
Dust mite allergy,Nasal congestion
Dust mite allergy,"Itchy nose, roof of mouth or throat"
Dust mite allergy,Postnasal drip
Dust mite allergy,Cough
Dust mite allergy,Facial pressure and pain
Dust mite allergy,"Swollen, blue-colored skin under your eyes"
Dust mite allergy,"In a child, frequent upward rubbing of the nose"
Dust mite allergy,Difficulty breathing
Dust mite allergy,Chest tightness or pain
Dust mite allergy,An audible whistling or wheezing sound when exhaling
Dust mite allergy,"Trouble sleeping caused by shortness of breath, coughing or wheezing"
Dust mite allergy,Bouts of coughing or wheezing that are worsened by a respiratory virus such as a cold or the flu
Egg allergy,Skin inflammation or hives — the most common egg allergy reaction
Egg allergy,"Nasal congestion, runny nose and sneezing (allergic rhinitis)"
Egg allergy,"Digestive symptoms, such as cramps, nausea and vomiting"
Egg allergy,"Asthma signs and symptoms such as coughing, wheezing, chest tightness or shortness of breath"
Latex allergy,Itching
Latex allergy,Skin redness
Latex allergy,Hives or rash
Mold allergy,Sneezing
Mold allergy,Runny or stuffy nose
Mold allergy,Cough and postnasal drip
Mold allergy,"Itchy eyes, nose and throat"
Mold allergy,Watery eyes
Mold allergy,"Dry, scaly skin"
Nickel allergy,Rash or bumps on the skin
Nickel allergy,"Itching, which may be severe"
Nickel allergy,Redness or changes in skin color
Nickel allergy,Dry patches of skin that may resemble a burn
Nickel allergy,Blisters and draining fluid in severe cases
Peanut allergy,"Skin reactions, such as hives, redness or swelling"
Peanut allergy,Itching or tingling in or around the mouth and throat
Peanut allergy,"Digestive problems, such as diarrhea, stomach cramps, nausea or vomiting"
Peanut allergy,Tightening of the throat
Peanut allergy,Shortness of breath or wheezing
Peanut allergy,Runny nose
Penicillin allergy,Skin rash
Penicillin allergy,Hives
Penicillin allergy,Itching
Penicillin allergy,Fever
Penicillin allergy,Swelling
Penicillin allergy,Shortness of breath
Penicillin allergy,Wheezing
Penicillin allergy,Runny nose
Penicillin allergy,"Itchy, watery eyes"
Penicillin allergy,Anaphylaxis
Pet allergy,Sneezing
Pet allergy,Runny nose
Pet allergy,"Itchy, red or watery eyes"
Pet allergy,Nasal congestion
Pet allergy,"Itchy nose, roof of mouth or throat"
Pet allergy,Postnasal drip
Pet allergy,Cough
Pet allergy,Facial pressure and pain
Pet allergy,Frequent awakening
Pet allergy,"Swollen, blue-colored skin under your eyes"
Pet allergy,"In a child, frequent upward rubbing of the nose"
Pet allergy,Difficulty breathing
Pet allergy,Chest tightness or pain
Pet allergy,Audible whistling or wheezing sound when exhaling
Pet allergy,"Trouble sleeping caused by shortness of breath, coughing or wheezing"
Shellfish allergy,"Hives, itching or eczema (atopic dermatitis)"
Shellfish allergy,"Swelling of the lips, face, tongue and throat, or other parts of the body"
Shellfish allergy,"Wheezing, nasal congestion or trouble breathing"
Shellfish allergy,"Abdominal pain, diarrhea, nausea or vomiting"
Shellfish allergy,"Dizziness, lightheadedness or fainting"
Shellfish allergy,A swollen throat or a lump in your throat (airway constriction) that makes it difficult for you to breathe
Shellfish allergy,"Shock, with a severe drop in your blood pressure"
Shellfish allergy,"Dizziness, lightheadedness or loss of consciousness"
Soy allergy,Tingling in the mouth
Soy allergy,"Hives; itching; or itchy, scaly skin (eczema)"
Soy allergy,"Swelling of the lips, face, tongue and throat, or other body parts"
Soy allergy,"Wheezing, a runny nose or breathing difficulty"
Soy allergy,"Abdominal pain, diarrhea, nausea or vomiting"
Soy allergy,Skin redness (flushing)
Soy allergy,"Difficulty breathing, caused by throat swelling"
Soy allergy,"Shock, with a severe drop in blood pressure"
Soy allergy,Rapid pulse
Soy allergy,"Dizziness, lightheadedness or loss of consciousness"
Wheat allergy,"Swelling, itching or irritation of the mouth or throat"
Wheat allergy,"Hives, itchy rash or swelling of the skin"
Wheat allergy,Nasal congestion
Wheat allergy,Headache
Wheat allergy,Difficulty breathing
Wheat allergy,"Cramps, nausea or vomiting"
Wheat allergy,Diarrhea
Wheat allergy,Anaphylaxis
Hair loss,"Gradual thinning on top of head. This is the most common type of hair loss, affecting people as they age. In men, hair often begins to recede at the hairline on the forehead. Women typically have a broadening of the part in their hair. An increasingly common hair loss pattern in older women is a receding hairline (frontal fibrosing alopecia)."
Hair loss,"Circular or patchy bald spots. Some people lose hair in circular or patchy bald spots on the scalp, beard or eyebrows. Your skin may become itchy or painful before the hair falls out."
Hair loss,Sudden loosening of hair. A physical or emotional shock can cause hair to loosen. Handfuls of hair may come out when combing or washing your hair or even after gentle tugging. This type of hair loss usually causes overall hair thinning but is temporary.
Hair loss,"Full-body hair loss. Some conditions and medical treatments, such as chemotherapy for cancer, can result in the loss of hair all over your body. The hair usually grows back."
Hair loss,"Patches of scaling that spread over the scalp. This is a sign of ringworm. It may be accompanied by broken hair, redness, swelling and, at times, oozing."
Alpha-gal syndrome,"Hives, itching, or itchy, scaly skin (eczema)"
Alpha-gal syndrome,"Swelling of the lips, face, tongue and throat, or other body parts"
Alpha-gal syndrome,Wheezing or shortness of breath
Alpha-gal syndrome,A runny nose
Alpha-gal syndrome,"Stomach pain, diarrhea, nausea or vomiting"
Alpha-gal syndrome,Sneezing
Alpha-gal syndrome,Headaches
Alpha-gal syndrome,"A severe, potentially deadly allergic reaction that restricts breathing(anaphylaxis)"
Alzheimer's disease,Repeat statements and questions over and over
Alzheimer's disease,"Forget conversations, appointments or events, and not remember them later"
Alzheimer's disease,"Routinely misplace possessions, often putting them in illogical locations"
Alzheimer's disease,Get lost in familiar places
Alzheimer's disease,Eventually forget the names of family members and everyday objects
Alzheimer's disease,"Have trouble finding the right words to identify objects, express thoughts or take part in conversations"
Lazy eye (amblyopia),An eye that wanders inward or outward
Lazy eye (amblyopia),Eyes that appear to not work together
Lazy eye (amblyopia),Poor depth perception
Lazy eye (amblyopia),Squinting or shutting an eye
Lazy eye (amblyopia),Head tilting
Lazy eye (amblyopia),Abnormal results of vision screening tests
Amenorrhea,Milky nipple discharge
Amenorrhea,Hair loss
Amenorrhea,Headache
Amenorrhea,Vision changes
Amenorrhea,Excess facial hair
Amenorrhea,Pelvic pain
Amenorrhea,Acne
Chagas disease,Swelling at the infection site
Chagas disease,Fever
Chagas disease,Fatigue
Chagas disease,Rash
Chagas disease,Body aches
Chagas disease,Eyelid swelling
Chagas disease,Headache
Chagas disease,Loss of appetite
Chagas disease,"Nausea, diarrhea or vomiting"
Chagas disease,Swollen glands
Chagas disease,Enlargement of your liver or spleen
Amnesia,Difficulty learning new information following the onset of amnesia (anterograde amnesia)
Amnesia,Difficulty remembering past events and previously familiar information (retrograde amnesia)
Transient global amnesia,"Sudden onset of memory loss, verified by a witness"
Transient global amnesia,Retention of personal identity despite memory loss
Transient global amnesia,"Normal cognition, such as the ability to recognize and name familiar objects and follow simple directions"
Transient global amnesia,"Absence of signs indicating damage to a particular area of the brain, such as limb paralysis, involuntary movement or impaired word recognition"
Transient global amnesia,Duration of no more than 24 hours and generally shorter
Transient global amnesia,Gradual return of memory
Transient global amnesia,No recent head injury
Transient global amnesia,No evidence of seizures during the period of amnesia
Transient global amnesia,No history of active epilepsy
Ampullary cancer,Yellowing of the skin and eyes (jaundice)
Ampullary cancer,Clay-colored stools
Ampullary cancer,Abdominal pain
Ampullary cancer,Fever
Ampullary cancer,Bleeding from the rectum
Ampullary cancer,Nausea
Ampullary cancer,Vomiting
Ampullary cancer,Weight loss
Amyloidosis,Swelling of your ankles and legs
Amyloidosis,Severe fatigue and weakness
Amyloidosis,Shortness of breath with minimal exertion
Amyloidosis,Unable to lie flat in bed due to shortness of breath
Amyloidosis,"Numbness, tingling or pain in your hands or feet, especially pain in your wrist (carpal tunnel syndrome)"
Amyloidosis,"Diarrhea, possibly with blood, or constipation"
Amyloidosis,Unintentional weight loss of more than 10 pounds (4.5 kilograms)
Amyloidosis,"An enlarged tongue, which sometimes looks rippled around its edge"
Amyloidosis,"Skin changes, such as thickening or easy bruising, and purplish patches around the eyes"
Amyloidosis,An irregular heartbeat
Amyloidosis,Difficulty swallowing
Anal cancer,Bleeding from the anus or rectum
Anal cancer,Pain in the area of the anus
Anal cancer,A mass or growth in the anal canal
Anal cancer,Anal itching
Anal fissure,"Pain, sometimes severe, during bowel movements"
Anal fissure,Pain after bowel movements that can last up to several hours
Anal fissure,Bright red blood on the stool or toilet paper after a bowel movement
Anal fissure,A visible crack in the skin around the anus
Anal fissure,A small lump or skin tag on the skin near the anal fissure
Anaphylaxis,"Skin reactions, including hives and itching and flushed or pale skin"
Anaphylaxis,Low blood pressure (hypotension)
Anaphylaxis,"Constriction of the airways and a swollen tongue or throat, which can cause wheezing and trouble breathing"
Anaphylaxis,A weak and rapid pulse
Anaphylaxis,"Nausea, vomiting or diarrhea"
Anaphylaxis,Dizziness or fainting
Anemia,Fatigue
Anemia,Weakness
Anemia,Pale or yellowish skin
Anemia,Irregular heartbeats
Anemia,Shortness of breath
Anemia,Dizziness or lightheadedness
Anemia,Chest pain
Anemia,Cold hands and feet
Anemia,Headaches
Thalassemia,Fatigue
Thalassemia,Weakness
Thalassemia,Pale or yellowish skin
Thalassemia,Facial bone deformities
Thalassemia,Slow growth
Thalassemia,Abdominal swelling
Thalassemia,Dark urine
Iron deficiency anemia,Extreme fatigue
Iron deficiency anemia,Weakness
Iron deficiency anemia,Pale skin
Iron deficiency anemia,"Chest pain, fast heartbeat or shortness of breath"
Iron deficiency anemia,"Headache, dizziness or lightheadedness"
Iron deficiency anemia,Cold hands and feet
Iron deficiency anemia,Inflammation or soreness of your tongue
Iron deficiency anemia,Brittle nails
Iron deficiency anemia,"Unusual cravings for non-nutritive substances, such as ice, dirt or starch"
Iron deficiency anemia,"Poor appetite, especially in infants and children with iron deficiency anemia"
Sickle cell anemia,"Anemia. Sickle cells break apart easily and die, leaving you with too few red blood cells. Red blood cells usually live for about 120 days before they need to be replaced. But sickle cells usually die in 10 to 20 days, leaving a shortage of red blood cells (anemia).
Without enough red blood cells, your body can't get enough oxygen, causing fatigue."
Sickle cell anemia,"Episodes of pain. Periodic episodes of pain, called pain crises, are a major symptom of sickle cell anemia. Pain develops when sickle-shaped red blood cells block blood flow through tiny blood vessels to your chest, abdomen and joints. Pain can also occur in your bones.
The pain varies in intensity and can last for a few hours to a few weeks. Some people have only a few pain crises a year. Others have a dozen or more pain crises a year. A severe pain crisis requires a hospital stay.
Some adolescents and adults with sickle cell anemia also have chronic pain, which can result from bone and joint damage, ulcers, and other causes."
