disease,overview,treatment,when_to_see_doctor
Endometrial cancer,"Endometrial cancer begins in the lining (endometrium) of the uterus.
 Endometrial cancer begins in the lining (endometrium) of the uterus. Endometrial cancer is a type of cancer that begins in the uterus. The uterus is the hollow, pear-shaped pelvic organ where fetal development occurs. Endometrial cancer begins in the layer of cells that form the lining (endometrium) of the uterus. Endometrial cancer is sometimes called uterine cancer. Other types of cancer can form in the uterus, including uterine sarcoma, but they are much less common than endometrial cancer. Endometrial cancer is often detected at an early stage because it frequently produces abnormal vaginal bleeding. If endometrial cancer is discovered early, removing the uterus surgically often cures endometrial cancer.","Radiation from a machine outside your body. During external beam radiation, you lie on a table while a machine directs radiation to specific points on your body. Radiation placed inside your body. Internal radiation (brachytherapy) involves placing a radiation-filled device, such as small seeds, wires or a cylinder, inside your vagina for a short period of time.","Make an appointment with your doctor if you experience any persistent signs or symptoms that worry you. Causes Doctors don't know what causes endometrial cancer. What's known is that something occurs to create changes (mutations) in the DNA of cells in the endometrium — the lining of the uterus. The mutation turns normal, healthy cells into abnormal cells. Healthy cells grow and multiply at a set rate, eventually dying at a set time. Abnormal cells grow and multiply out of control, and they don't die at a set time. The accumulating abnormal cells form a mass (tumor). Cancer cells invade nearby tissues and can separate from an initial tumor to spread elsewhere in the body (metastasize). Risk factors"
Esophageal cancer,"The esophagus is a muscular tube that connects your mouth and your stomach. Rings of muscle (sphincters) in the upper and lower portions contract and relax to allow food and liquid to pass. The esophagus is a muscular tube that connects your mouth and your stomach. Rings of muscle (sphincters) in the upper and lower portions contract and relax to allow food and liquid to pass. Esophageal cancer most often occurs in the cells that line the inside of the esophagus. Esophageal cancer most often occurs in the cells that line the inside of the esophagus. Esophageal cancer is cancer that occurs in the esophagus — a long, hollow tube that runs from your throat to your stomach. Your esophagus helps move the food you swallow from the back of your throat to your stomach to be digested. Esophageal cancer usually begins in the cells that line the inside of the esophagus. Esophageal cancer can occur anywhere along the esophagus. More men than women get esophageal cancer. Esophageal cancer is the sixth most common cause of cancer deaths worldwide. Incidence rates vary within different geographic locations. In some regions, higher rates of esophageal cancer may be attributed to tobacco and alcohol use or particular nutritional habits and obesity.","Surgery to remove very small tumors. If your cancer is very small, confined to the superficial layers of your esophagus and hasn't spread, your surgeon may recommend removing the cancer and margin of healthy tissue that surrounds it. Surgery can be done using an endoscope passed down your throat and into your esophagus. Surgery to remove a portion of the esophagus (esophagectomy). During esophagectomy, the surgeon removes the portion of your esophagus that contains the cancer, along with a portion of the upper part of your stomach, and nearby lymph nodes. The remaining esophagus is reconnected to your stomach. Usually this is done by pulling the stomach up to meet the remaining esophagus. Surgery to remove part of your esophagus and the upper portion of your stomach (esophagogastrectomy). During esophagogastrectomy, the surgeon removes part of your esophagus, nearby lymph nodes and a larger part of your stomach. The remainder of your stomach is then pulled up and reattached to your esophagus. If necessary, part of your colon is used to help join the two.","Make an appointment with your doctor if you have any persistent signs and symptoms that worry you. If you've been diagnosed with Barrett's esophagus, a precancerous condition caused by chronic acid reflux, your risk of esophageal cancer is higher. Ask your doctor what signs and symptoms to watch for that may signal that your condition is worsening. Screening for esophageal cancer may be an option for people with Barrett's esophagus. If you have Barrett's esophagus, discuss the pros and cons of screening with your doctor."
Eye melanoma,"Eye melanoma most often affects the middle layer of your eye (uvea). Parts of your eye's uvea that can develop melanoma include the colored portion of your eye (iris), the muscle fibers around your eye's lens (ciliary body), and the layer of blood vessels that lines the back of your eye (choroid). Eye melanoma most often affects the middle layer of your eye (uvea). Parts of your eye's uvea that can develop melanoma include the colored portion of your eye (iris), the muscle fibers around your eye's lens (ciliary body), and the layer of blood vessels that lines the back of your eye (choroid). Melanoma is a type of cancer that develops in the cells that produce melanin — the pigment that gives your skin its color. Your eyes also have melanin-producing cells and can develop melanoma. Eye melanoma is also called ocular melanoma. Most eye melanomas form in the part of the eye you can't see when looking in a mirror. This makes eye melanoma difficult to detect. In addition, eye melanoma typically doesn't cause early signs or symptoms. Treatment is available for eye melanomas. Treatment for some small eye melanomas may not interfere with your vision. However, treatment for large eye melanomas typically causes some vision loss.","Surgery to remove the melanoma and a small area of healthy tissue. Surgery to remove the melanoma and a band of healthy tissue that surrounds it may be an option for treating small melanomas.  
Surgery to remove the entire eye (enucleation). Enucleation is often used for large eye tumors. It may also be used if the tumor is causing eye pain.
After the eye with melanoma is removed, an implant is inserted into the same position, and the muscles controlling movement of the eye are attached to the implant, which allows the implant to move.
 After you've had some time to heal, an artificial eye (prosthesis) is made. The front surface of your new eye will be custom painted to match your existing eye.","Make an appointment with your doctor if you have any signs or symptoms that worry you. Sudden changes in your vision signal an emergency, so seek immediate care in those situations."
Gallbladder cancer,"Gallbladder cancer begins in the cells of the gallbladder. Your gallbladder is a small, pear-shaped organ on the right side of your abdomen, just beneath your liver. Gallbladder cancer begins in the cells of the gallbladder. Your gallbladder is a small, pear-shaped organ on the right side of your abdomen, just beneath your liver. Gallbladder cancer is an abnormal growth of cells that begins in the gallbladder. Your gallbladder is a small, pear-shaped organ on the right side of your abdomen, just beneath your liver. The gallbladder stores bile, a digestive fluid produced by your liver. Gallbladder cancer is uncommon. When gallbladder cancer is discovered at its earliest stages, the chance for a cure is very good. But most gallbladder cancers are discovered at a late stage, when the prognosis is often very poor. Gallbladder cancer may not be discovered until it's advanced because it often causes no specific signs or symptoms. Also, the relatively hidden nature of the gallbladder makes it easier for gallbladder cancer to grow without being detected.","Surgery to remove the gallbladder. Early gallbladder cancer that is confined to the gallbladder is treated with an operation to remove the gallbladder (cholecystectomy). Surgery to remove the gallbladder and a portion of the liver. Gallbladder cancer that extends beyond the gallbladder and into the liver is sometimes treated with surgery to remove the gallbladder, as well as portions of the liver and bile ducts that surround the gallbladder.",Make an appointment with your doctor if you experience any signs or symptoms that worry you.
Stomach cancer,"The stomach is a muscular sac in the middle of the upper abdomen that helps break down and digest food. Food you eat passes down your esophagus, through the gastroesophageal junction and into the stomach. The stomach is a muscular sac in the middle of the upper abdomen that helps break down and digest food. Food you eat passes down your esophagus, through the gastroesophageal junction and into the stomach. Cancer of the gastroesophageal junction develops in the area where the esophagus joins the top part of the stomach. Cancer of the gastroesophageal junction develops in the area where the esophagus joins the top part of the stomach. Stomach cancer most commonly begins in the cells that line the inside of the stomach.
 Stomach cancer most commonly begins in the cells that line the inside of the stomach. Stomach cancer is an abnormal growth of cells that begins in the stomach. The stomach is a muscular sac located in the upper middle of your abdomen, just below your ribs. Your stomach receives and holds the food you eat and then helps to break down and digest it. Stomach cancer, also known as gastric cancer, can affect any part of the stomach. In most of the world, stomach cancers form in the main part of the stomach (stomach body). But in the United States, stomach cancer is more likely to affect the area where the long tube (esophagus) that carries food you swallow meets the stomach. This area is called the gastroesophageal junction. Where the cancer occurs in the stomach is one factor doctors consider when determining your treatment options. Treatment usually includes surgery to remove the stomach cancer. Other treatments may be recommended before and after surgery.","Removing early-stage tumors from the stomach lining. Very small cancers limited to the inside lining of the stomach may be removed by passing special tools through an endoscope. Procedures to cut away cancer from the inside lining of the stomach include endoscopic mucosal resection and endoscopic submucosal resection. Removing part of the stomach (subtotal gastrectomy). During subtotal gastrectomy, the surgeon removes the part of the stomach affected by cancer and some of the healthy tissue around it. This operation may be an option if your stomach cancer is located in the part of the stomach nearest the small intestine. Removing the entire stomach (total gastrectomy). Total gastrectomy involves removing the entire stomach and some surrounding tissue. The esophagus is then connected directly to the small intestine to allow food to move through your digestive system. Total gastrectomy is used most often for stomach cancers that affect the body of the stomach and those that are located in the gastroesophageal junction. Removing lymph nodes to look for cancer. The surgeon may remove lymph nodes in your abdomen to test them for cancer. Surgery to relieve signs and symptoms. An operation to remove part of the stomach may relieve signs and symptoms of a growing cancer in people with advanced stomach cancer.","If you have signs and symptoms that worry you, make an appointment with your doctor. Your doctor will likely investigate more-common causes of these signs and symptoms first."
Hairy cell leukemia,"Hairy cell leukemia cells, which appear as the darker cells in this photo, are surrounded by a halo of fine projections (villi). To diagnose hairy cell leukemia, your doctor may take a sample of bone marrow from your body and examine it under a microscope to look for hairy cells. Hairy cell leukemia cells, which appear as the darker cells in this photo, are surrounded by a halo of fine projections (villi). To diagnose hairy cell leukemia, your doctor may take a sample of bone marrow from your body and examine it under a microscope to look for hairy cells. Hairy cell leukemia is a rare, slow-growing cancer of the blood in which your bone marrow makes too many B cells (lymphocytes), a type of white blood cell that fights infection. These excess B cells are abnormal and look ""hairy"" under a microscope. As the number of leukemia cells increases, fewer healthy white blood cells, red blood cells and platelets are produced. Hairy cell leukemia affects more men than women, and it occurs most commonly in middle-aged or older adults. Hairy cell leukemia is considered a chronic disease because it may never completely disappear, although treatment can lead to a remission for years.","Cladribine. Treatment for hairy cell leukemia typically begins with cladribine. You may receive either a continuous infusion of the drug or daily injections into a vein over several days.
Most people who receive cladribine experience a complete remission that can last for several years. If your hairy cell leukemia returns, you can be treated with cladribine again. Side effects of cladribine may include infection and fever.
 Pentostatin. Pentostatin (Nipent) causes remission rates similar to cladribine, but it's given on a different schedule. People who take pentostatin receive infusions every other week for three to six months. Side effects of pentostatin may include fever, nausea and infection.",Make an appointment with your doctor if you have any persistent signs and symptoms that worry you.
Hodgkin's lymphoma (Hodgkin's disease),"The lymphatic system is part of the body's immune system, which protects against infection and disease. The lymphatic system includes the spleen, thymus, lymph nodes and lymph channels, as well as the tonsils and adenoids. The lymphatic system is part of the body's immune system, which protects against infection and disease. The lymphatic system includes the spleen, thymus, lymph nodes and lymph channels, as well as the tonsils and adenoids. Lymph nodes are bean-sized collections of lymphocytes. About 600 of these nodes cluster throughout the lymphatic system, for example, near the knee, groin, neck and armpits. The nodes are connected by a network of lymphatic vessels. Lymph nodes are bean-sized collections of lymphocytes. About 600 of these nodes cluster throughout the lymphatic system, for example, near the knee, groin, neck and armpits. The nodes are connected by a network of lymphatic vessels. Hodgkin's lymphoma — formerly known as Hodgkin's disease — is a cancer of the lymphatic system, which is part of your immune system. It may affect people of any age, but is most common in people between 20 and 40 years old and those over 55. In Hodgkin's lymphoma, cells in the lymphatic system grow abnormally and may spread beyond it. Hodgkin's lymphoma is one of two common types of cancers of the lymphatic system. The other type, non-Hodgkin's lymphoma, is far more common. Advances in diagnosis and treatment of Hodgkin's lymphoma have helped give people with this disease the chance for a full recovery. The prognosis continues to improve for people with Hodgkin's lymphoma. Hodgkin's lymphoma care at Mayo Clinic",Hodgkin's lymphoma (Hodgkin's disease) care at Mayo Clinic Bone marrow transplant Chemotherapy Radiation therapy,Make an appointment with your doctor if you have any persistent signs or symptoms that worry you.
Hurthle cell cancer,"Your thyroid gland is located at the base of your neck, just below the Adam's apple. Your thyroid gland is located at the base of your neck, just below the Adam's apple. Hurthle (HEERT-luh) cell cancer is a rare cancer that affects the thyroid gland. The thyroid is a butterfly-shaped gland in the base of your neck. It secretes hormones that are essential for regulating your body's metabolism. Hurthle cell cancer is also called Hurthle cell carcinoma or oxyphilic cell carcinoma. Hurthle cell cancer is one of several types of cancers that affect the thyroid. Hurthle cell cancer can be more aggressive than other types of thyroid cancer. Surgery to remove the thyroid gland is the most common treatment.","Injury to the nerve that controls the voice box (recurrent laryngeal nerve), which could cause temporary or permanent hoarseness or a loss of your voice Damage to the parathyroid glands Excessive bleeding","Make an appointment with your doctor if you have any signs or symptoms that worry you. Causes It's not clear what causes Hurthle cell cancer. Doctors know that cancer begins when a cell develops errors in its DNA — the genetic material that contains instructions for biochemical processes in your body. When DNA is altered or damaged, these genes may not function properly, causing cells to grow out of control and eventually form a mass (tumor) of cancerous (malignant) cells. Risk factors Factors that increase the risk of developing thyroid cancer include: 
Being female
Being older
Having a history of radiation treatments to the head and neck
 Complications Possible complications of Hurthle cell cancer include: 
Problems with swallowing and breathing. They can occur if the tumor grows and presses on the food tube (esophagus) and windpipe (trachea).
Spread of the cancer. Hurthle cell cancer can spread (metastasize) to other tissues and organs, making treatment and recovery more difficult."
Kidney cancer,"Kidney cancer is cancer that begins in the cells of your kidneys. Kidney cancer is cancer that begins in the cells of your kidneys. Kidney cancer is cancer that begins in the kidneys. Your kidneys are two bean-shaped organs, each about the size of your fist. They're located behind your abdominal organs, with one kidney on each side of your spine. In adults, renal cell carcinoma is the most common type of kidney cancer. Other less common types of kidney cancer can occur. Young children are more likely to develop a kind of kidney cancer called Wilms' tumor. The incidence of kidney cancer seems to be increasing. One reason for this may be the fact that imaging techniques such as computerized tomography (CT) scans are being used more often. These tests may lead to the accidental discovery of more kidney cancers. Kidney cancer is often discovered at an early stage, when the cancer is small and confined to the kidney.","Removing the affected kidney (nephrectomy). A complete (radical) nephrectomy involves removing the entire kidney, a border of healthy tissue and occasionally additional nearby tissues such as the lymph nodes, adrenal gland or other structures.
The surgeon may perform a nephrectomy through a single incision in the abdomen or side (open nephrectomy) or through a series of small incisions in the abdomen (laparoscopic or robotic-assisted laparoscopic nephrectomy).
 
Removing the tumor from the kidney (partial nephrectomy). Also called kidney-sparing or nephron-sparing surgery, the surgeon removes the cancer and a small margin of healthy tissue that surrounds it rather than the entire kidney. It can be done as an open procedure, or laparoscopically or with robotic assistance.
Kidney-sparing surgery is a common treatment for small kidney cancers and it may be an option if you have only one kidney. When possible, kidney-sparing surgery is generally preferred over a complete nephrectomy to preserve kidney function and reduce the risk of later complications, such as kidney disease and the need for dialysis.",Make an appointment with your doctor if you have any persistent signs or symptoms that worry you.
Leukemia,"Leukemia is cancer of the body's blood-forming tissues, including the bone marrow and the lymphatic system. Many types of leukemia exist. Some forms of leukemia are more common in children. Other forms of leukemia occur mostly in adults. Leukemia usually involves the white blood cells. Your white blood cells are potent infection fighters — they normally grow and divide in an orderly way, as your body needs them. But in people with leukemia, the bone marrow produces an excessive amount of abnormal white blood cells, which don't function properly. Treatment for leukemia can be complex — depending on the type of leukemia and other factors. But there are strategies and resources that can help make your treatment successful.","Chemotherapy. Chemotherapy is the major form of treatment for leukemia. This drug treatment uses chemicals to kill leukemia cells.
Depending on the type of leukemia you have, you may receive a single drug or a combination of drugs. These drugs may come in a pill form, or they may be injected directly into a vein.
 Targeted therapy. Targeted drug treatments focus on specific abnormalities present within cancer cells. By blocking these abnormalities, targeted drug treatments can cause cancer cells to die. Your leukemia cells will be tested to see if targeted therapy may be helpful for you. 
Radiation therapy. Radiation therapy uses X-rays or other high-energy beams to damage leukemia cells and stop their growth. During radiation therapy, you lie on a table while a large machine moves around you, directing the radiation to precise points on your body.
You may receive radiation in one specific area of your body where there is a collection of leukemia cells, or you may receive radiation over your whole body. Radiation therapy may be used to prepare for a bone marrow transplant.
 
Bone marrow transplant. A bone marrow transplant, also called a stem cell transplant, helps reestablish healthy stem cells by replacing unhealthy bone marrow with leukemia-free stem cells that will regenerate healthy bone marrow.
Prior to a bone marrow transplant, you receive very high doses of chemotherapy or radiation therapy to destroy your leukemia-producing bone marrow. Then you receive an infusion of blood-forming stem cells that help rebuild your bone marrow.
You may receive stem cells from a donor or you may be able to use your own stem cells.
 Immunotherapy. Immunotherapy uses your immune system to fight cancer. Your body's disease-fighting immune system may not attack your cancer because the cancer cells produce proteins that help them hide from the immune system cells. Immunotherapy works by interfering with that process. Engineering immune cells to fight leukemia. A specialized treatment called chimeric antigen receptor (CAR)-T cell therapy takes your body's germ-fighting T cells, engineers them to fight cancer and infuses them back into your body. CAR-T cell therapy might be an option for certain types of leukemia. Clinical trials. Clinical trials are experiments to test new cancer treatments and new ways of using existing treatments. While clinical trials give you or your child a chance to try the latest cancer treatment, treatment benefits and risks may be uncertain. Discuss the benefits and risks of clinical trials with your doctor.",Make an appointment with your doctor if you have any persistent signs or symptoms that worry you. Leukemia symptoms are often vague and not specific. You may overlook early leukemia symptoms because they may resemble symptoms of the flu and other common illnesses. Sometimes leukemia is discovered during blood tests for some other condition.
Mouth cancer,"Lip cancer may appear as a sore on your lip that doesn't heal.
 Lip cancer may appear as a sore on your lip that doesn't heal. Mouth cancer signs may include bleeding, swelling, white patches or redness in your mouth. Mouth cancer signs may include bleeding, swelling, white patches or redness in your mouth. Mouth cancer signs may include red sores that don't heal.
 Mouth cancer signs may include red sores that don't heal. Mouth cancer refers to cancer that develops in any of the parts that make up the mouth (oral cavity). Mouth cancer can occur on the: Cancer that occurs on the inside of the mouth is sometimes called oral cancer or oral cavity cancer. Mouth cancer is one of several types of cancers grouped in a category called head and neck cancers. Mouth cancer and other head and neck cancers are often treated similarly.","Surgery to remove the tumor. Your surgeon may cut away the tumor and a margin of healthy tissue that surrounds it to ensure all of the cancer cells have been removed. Smaller cancers may be removed through minor surgery. Larger tumors may require more-extensive procedures. For instance, removing a larger tumor may involve removing a section of your jawbone or a portion of your tongue. Surgery to remove cancer that has spread to the neck. If cancer cells have spread to the lymph nodes in your neck or if there's a high risk that this has happened based on the size or depth of your cancer, your surgeon may recommend a procedure to remove lymph nodes and related tissue in your neck (neck dissection). Neck dissection removes any cancer cells that may have spread to your lymph nodes. It's also useful for determining whether you will need additional treatment after surgery. Surgery to reconstruct the mouth. After an operation to remove your cancer, your surgeon may recommend reconstructive surgery to rebuild your mouth to help you regain the ability to talk and eat. Your surgeon may transplant grafts of skin, muscle or bone from other parts of your body to reconstruct your mouth. Dental implants also may be used to replace your natural teeth.","Make an appointment with your doctor or dentist if you have any persistent signs and symptoms that bother you and last more than two weeks. Your doctor will likely investigate other more common causes for your signs and symptoms first, such as an infection."
Liver cancer,"Liver cancer begins in the cells of the liver. The most common form of liver cancer begins in cells called hepatocytes and is called hepatocellular carcinoma. Liver cancer begins in the cells of the liver. The most common form of liver cancer begins in cells called hepatocytes and is called hepatocellular carcinoma. Liver cancer is cancer that begins in the cells of your liver. Your liver is a football-sized organ that sits in the upper right portion of your abdomen, beneath your diaphragm and above your stomach. Several types of cancer can form in the liver. The most common type of liver cancer is hepatocellular carcinoma, which begins in the main type of liver cell (hepatocyte). Other types of liver cancer, such as intrahepatic cholangiocarcinoma and hepatoblastoma, are much less common. Cancer that spreads to the liver is more common than cancer that begins in the liver cells. Cancer that begins in another area of the body — such as the colon, lung or breast — and then spreads to the liver is called metastatic cancer rather than liver cancer. This type of cancer is named after the organ in which it began — such as metastatic colon cancer to describe cancer that begins in the colon and spreads to the liver.","Surgery to remove the tumor. In certain situations, your doctor may recommend an operation to remove the liver cancer and a small portion of healthy liver tissue that surrounds it if your tumor is small and your liver function is good.
Whether this is an option for you also depends on the location of your cancer within the liver, how well your liver functions and your overall health.
 Liver transplant surgery. During liver transplant surgery, your diseased liver is removed and replaced with a healthy liver from a donor. Liver transplant surgery is only an option for a small percentage of people with early-stage liver cancer.",Make an appointment with your doctor if you experience any signs or symptoms that worry you.
Lung cancer,"Lung cancer begins in the cells of your lungs. Lung cancer begins in the cells of your lungs. Lung cancer is a type of cancer that begins in the lungs. Your lungs are two spongy organs in your chest that take in oxygen when you inhale and release carbon dioxide when you exhale. Lung cancer is the leading cause of cancer deaths worldwide. People who smoke have the greatest risk of lung cancer, though lung cancer can also occur in people who have never smoked. The risk of lung cancer increases with the length of time and number of cigarettes you've smoked. If you quit smoking, even after smoking for many years, you can significantly reduce your chances of developing lung cancer.","Wedge resection to remove a small section of lung that contains the tumor along with a margin of healthy tissue Segmental resection to remove a larger portion of lung, but not an entire lobe Lobectomy to remove the entire lobe of one lung Pneumonectomy to remove an entire lung","Make an appointment with your doctor if you have any persistent signs or symptoms that worry you. If you smoke and have been unable to quit, make an appointment with your doctor. Your doctor can recommend strategies for quitting smoking, such as counseling, medications and nicotine replacement products."
Merkel cell carcinoma,"Merkel cell carcinoma is a rare, aggressive skin cancer. It appears as a painless, flesh-colored or bluish-red nodule growing on your skin. Merkel cell carcinoma is a rare, aggressive skin cancer. It appears as a painless, flesh-colored or bluish-red nodule growing on your skin. Merkel cell carcinoma is a rare type of skin cancer that usually appears as a flesh-colored or bluish-red nodule, often on your face, head or neck. Merkel cell carcinoma is also called neuroendocrine carcinoma of the skin. Merkel cell carcinoma most often develops in older people. Long-term sun exposure or a weak immune system may increase your risk of developing Merkel cell carcinoma. Merkel cell carcinoma tends to grow fast and to spread quickly to other parts of your body. Treatment options for Merkel cell carcinoma often depend on whether the cancer has spread beyond the skin.","Surgery. During surgery, your doctor removes the tumor along with a border of normal skin surrounding the tumor. If there's evidence that the cancer has spread to lymph nodes in the area of the skin tumor, those lymph nodes are removed (lymph node dissection).
The surgeon most often uses a scalpel to cut away the cancer. In some cases, your doctor may use a procedure called Mohs surgery.
During Mohs surgery, thin layers of tissue are methodically removed and analyzed under a microscope to see whether they contain cancer cells. If cancer is found, the surgical process is repeated until cancer cells are no longer visible in the tissue. This type of surgery takes out less normal tissue — thereby reducing scarring — but ensures a tumor-free border of skin.
 Radiation therapy. Radiation therapy involves directing high-energy beams, such as X-rays and protons, at cancer cells. During radiation treatment, you're positioned on a table and a large machine moves around you, directing the beams to precise points on your body.
Radiation therapy is sometimes used after surgery to destroy any cancer cells that remain after the tumor is removed.
Radiation may also be used as the sole treatment in people who choose not to undergo surgery. Radiation can also be used to treat areas where the cancer has spread.
 Immunotherapy. In immunotherapy, drugs are used to help your immune system fight cancer. Most often, immunotherapy is used to treat Merkel cell carcinoma that has spread to other areas of your body. Chemotherapy. Chemotherapy uses drugs to kill the cancer cells. Chemotherapy drugs can be administered through a vein in your arm or taken as a pill or both.
Chemotherapy is not used often, but your doctor may recommend it if your Merkel cell carcinoma has spread to your lymph nodes or other organs in your body, or if it has returned despite treatment.","If you notice a mole, freckle or bump that is changing in size, shape or color, growing rapidly, or bleeding easily after minor trauma, such as washing your skin or shaving, make an appointment with your doctor."
Mesothelioma,"Malignant mesothelioma (me-zoe-thee-lee-O-muh) is a type of cancer that occurs in the thin layer of tissue that covers the majority of your internal organs (mesothelium). Mesothelioma is an aggressive and deadly form of cancer. Mesothelioma treatments are available, but for many people with mesothelioma, a cure isn't possible. Doctors divide mesothelioma into different types based on what part of the mesothelium is affected. Mesothelioma most often affects the tissue that surrounds the lungs (pleura). This type is called pleural mesothelioma. Other, rarer types of mesothelioma affect tissue in the abdomen (peritoneal mesothelioma), around the heart and around the testicles. Mesothelioma care at Mayo Clinic","Surgery to decrease fluid buildup. Pleural mesothelioma may cause fluid to build up in your chest, causing difficulty breathing. Surgeons insert a tube or catheter into your chest to drain the fluid. Doctors may also inject medicine into your chest to prevent fluid from returning (pleurodesis). Surgery to remove the tissue around the lungs. Surgeons may remove the tissue lining the ribs and the lungs (pleurectomy). This procedure won't cure mesothelioma, but may relieve signs and symptoms. Surgery to remove a lung and the surrounding tissue. Removing the affected lung and the tissue that surrounds it may relieve signs and symptoms of pleural mesothelioma. If you'll be receiving radiation therapy to the chest after surgery, this procedure also allows doctors to use higher doses, since they won't need to worry about protecting your lung from damaging radiation. Surgery for peritoneal mesothelioma. Peritoneal mesothelioma is sometimes treated with surgery to remove as much of the cancer as possible. Chemotherapy may be used before or after surgery.","See your doctor if you have signs and symptoms that worry you. Signs and symptoms of mesothelioma aren't specific to this disease and, due to the rarity of mesothelioma, are more likely to be related to other conditions. If any persistent signs and symptoms seem unusual or bothersome, ask your doctor to evaluate them. Tell your doctor if you've been exposed to asbestos."
Multiple myeloma,"Multiple myeloma is a cancer that forms in a type of white blood cell called a plasma cell. Healthy plasma cells help you fight infections by making antibodies that recognize and attack germs. In multiple myeloma, cancerous plasma cells accumulate in the bone marrow and crowd out healthy blood cells. Rather than produce helpful antibodies, the cancer cells produce abnormal proteins that can cause complications. Treatment for multiple myeloma isn't always necessary right away. If the multiple myeloma is slow growing and isn't causing signs and symptoms, your doctor may recommend close monitoring instead of immediate treatment. For people with multiple myeloma who require treatment, a number of options are available to help control the disease.","Targeted therapy. Targeted drug treatments focus on specific weaknesses present within cancer cells. By blocking these abnormalities, targeted drug treatments can cause cancer cells to die. Immunotherapy. Immunotherapy uses your immune system to fight cancer. Your body's disease-fighting immune system may not attack your cancer because the cancer cells produce proteins that help them hide from the immune system cells. Immunotherapy works by interfering with that process. Chemotherapy. Chemotherapy uses drugs to kill cancer cells. The drugs kill fast-growing cells, including myeloma cells. High doses of chemotherapy drugs are used before a bone marrow transplant. Corticosteroids. Corticosteroid medications regulate the immune system to control inflammation in the body. They are also active against myeloma cells. 
Bone marrow transplant. A bone marrow transplant, also known as a stem cell transplant, is a procedure to replace your diseased bone marrow with healthy bone marrow.
Before a bone marrow transplant, blood-forming stem cells are collected from your blood. You then receive high doses of chemotherapy to destroy your diseased bone marrow. Then your stem cells are infused into your body, where they travel to your bones and begin rebuilding your bone marrow.
 Radiation therapy. Radiation therapy uses high-powered energy beams from sources such as X-rays and protons to kill cancer cells. It may be used to quickly shrink myeloma cells in a specific area — for instance, when a collection of abnormal plasma cells form a tumor (plasmacytoma) that's causing pain or destroying a bone.",Make an appointment with your doctor if you have any persistent signs and symptoms that worry you.
Nasopharyngeal carcinoma,"The throat (pharynx) is a muscular tube that runs from the back of your nose down into your neck. It contains three sections: the nasopharynx, oropharynx and laryngopharynx, which is also called the hypopharynx. The throat (pharynx) is a muscular tube that runs from the back of your nose down into your neck. It contains three sections: the nasopharynx, oropharynx and laryngopharynx, which is also called the hypopharynx. Nasopharyngeal (nay-zoh-fuh-RIN-jee-ul) carcinoma is cancer that occurs in the nasopharynx, which is located behind your nose and above the back of your throat. Nasopharyngeal carcinoma is rare in the United States. It occurs much more frequently in other parts of the world — specifically Southeast Asia. Nasopharyngeal carcinoma is difficult to detect early. That's probably because the nasopharynx isn't easy to examine and symptoms of nasopharyngeal carcinoma mimic those of other, more-common conditions. Treatment for nasopharyngeal carcinoma usually involves radiation therapy, chemotherapy or a combination of the two. You can work with your doctor to determine the exact approach depending on your particular situation.","Chemotherapy at the same time as radiation therapy. When the two treatments are combined, chemotherapy enhances the effectiveness of radiation therapy. This combined treatment is called concomitant therapy or chemoradiation.
However, side effects of chemotherapy are added to the side effects of radiation therapy, making concomitant therapy more difficult to tolerate.
 
Chemotherapy after radiation therapy. Your doctor might recommend chemotherapy after radiation therapy or after concomitant therapy.
Chemotherapy is used to attack any remaining cancer cells in your body, including those that may have broken off from the original tumor and spread elsewhere.
Some controversy exists as to whether additional chemotherapy actually improves survival in people with nasopharyngeal carcinoma. Many people who undergo chemotherapy after concomitant therapy are unable to tolerate the side effects and must discontinue treatment.
 Chemotherapy before radiation therapy. Neoadjuvant chemotherapy is chemotherapy treatment administered before radiation therapy alone or before concomitant therapy. More research is needed to determine whether neoadjuvant chemotherapy can improve survival rates in people with nasopharyngeal carcinoma.","Early nasopharyngeal carcinoma symptoms may not always prompt you to see your doctor. However, if you notice any unusual and persistent changes in your body that don't seem right to you, such as unusual nasal congestion, see your doctor."
Neuroblastoma,"Perched atop each of your kidneys, your adrenal glands produce hormones that help regulate your metabolism, immune system, blood pressure and other essential functions. Perched atop each of your kidneys, your adrenal glands produce hormones that help regulate your metabolism, immune system, blood pressure and other essential functions. Neuroblastoma is a cancer that develops from immature nerve cells found in several areas of the body. Neuroblastoma most commonly arises in and around the adrenal glands, which have similar origins to nerve cells and sit atop the kidneys. However, neuroblastoma can also develop in other areas of the abdomen and in the chest, neck and near the spine, where groups of nerve cells exist. Neuroblastoma most commonly affects children age 5 or younger, though it may rarely occur in older children. Some forms of neuroblastoma go away on their own, while others may require multiple treatments. Your child's neuroblastoma treatment options will depend on several factors.",Neuroblastoma care at Mayo Clinic Bone marrow transplant Chemotherapy Radiation therapy,Contact your child's doctor if your child has any signs or symptoms that worry you. Mention any changes in your child's behavior or habits.
